LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;IntRate
DEU;LTINT;TOT;PC_PA;A;1995;6,85054;6,8505%
DEU;LTINT;TOT;PC_PA;A;1996;6,21538;6,2154%
DEU;LTINT;TOT;PC_PA;A;1997;5,64014;5,6401%
DEU;LTINT;TOT;PC_PA;A;1998;4,57392;4,5739%
DEU;LTINT;TOT;PC_PA;A;1999;4,49061;4,4906%
DEU;LTINT;TOT;PC_PA;A;2000;5,26396;5,2640%
DEU;LTINT;TOT;PC_PA;A;2001;4,79675;4,7967%
DEU;LTINT;TOT;PC_PA;A;2002;4,78366;4,7837%
DEU;LTINT;TOT;PC_PA;A;2003;4,07114;4,0711%
DEU;LTINT;TOT;PC_PA;A;2004;4,03723;4,0372%
DEU;LTINT;TOT;PC_PA;A;2005;3,35402;3,3540%
DEU;LTINT;TOT;PC_PA;A;2006;3,76413;3,7641%
DEU;LTINT;TOT;PC_PA;A;2007;4,21711;4,2171%
DEU;LTINT;TOT;PC_PA;A;2008;3,98480;3,9848%
DEU;LTINT;TOT;PC_PA;A;2009;3,22222;3,2222%
DEU;LTINT;TOT;PC_PA;A;2010;2,74431;2,7443%
DEU;LTINT;TOT;PC_PA;A;2011;2,60922;2,6092%
DEU;LTINT;TOT;PC_PA;A;2012;1,49513;1,4951%
DEU;LTINT;TOT;PC_PA;A;2013;1,57141;1,5714%
DEU;LTINT;TOT;PC_PA;A;2014;1,16351;1,1635%
DEU;LTINT;TOT;PC_PA;A;2015;0,49531;0,4953%
DEU;LTINT;TOT;PC_PA;A;2016;0,09158;0,0916%
DEU;LTINT;TOT;PC_PA;A;2017;0,31638;0,3164%
DEU;LTINT;TOT;PC_PA;A;2018;0,39648;0,3965%
DEU;LTINT;TOT;PC_PA;A;2019;-0,25363;-0,2536%
USA;LTINT;TOT;PC_PA;A;1954;2,40167;2,4017%
USA;LTINT;TOT;PC_PA;A;1955;2,81667;2,8167%
USA;LTINT;TOT;PC_PA;A;1956;3,18250;3,1825%
USA;LTINT;TOT;PC_PA;A;1957;3,64750;3,6475%
USA;LTINT;TOT;PC_PA;A;1958;3,31583;3,3158%
USA;LTINT;TOT;PC_PA;A;1959;4,33333;4,3333%
USA;LTINT;TOT;PC_PA;A;1960;4,11667;4,1167%
USA;LTINT;TOT;PC_PA;A;1961;3,88250;3,8825%
USA;LTINT;TOT;PC_PA;A;1962;3,94583;3,9458%
USA;LTINT;TOT;PC_PA;A;1963;4,00250;4,0025%
USA;LTINT;TOT;PC_PA;A;1964;4,18667;4,1867%
